Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
Oppidan,Oppidan,338p7qzZTDJSHJzSjIZMFK,exact,47,39091
ØTTA,ØTTA,13Mv9xsTvpgUxCdth9MWnG,exact,32,29668
Pablo Bozzi,Pablo Bozzi,4DZM1e3XBfgjFkQkR1LKQL,exact,30,17827
Paul Oakenfold,Paul Oakenfold,5MO2kbaGGA2a8kL4c9qqHq,exact,52,222932
Pocket,Pocket,2VizsdU66dsMBEg8h4Vkzo,exact,25,8115
Sam Binga,Sam Binga,2oyU4eToyQkxAFjkB3blsi,exact,34,15675
Prospa,Prospa,6HabM2PUM519iIxervGWSb,exact,51,54875
Josh Baker,Josh Baker,4zf8Awb8y1X9qwL4oiVRd6,exact,49,25154
RaeCola,RaeCola,4ZLYabLbKeMkfAsFNESfpj,exact,11,1508
Ray Volpe,Ray Volpe,2K9qsrYnsu1EWt7ZQkkuXb,exact,50,151057
RayRay,RayRay,4FS6bomikvJR2E9JHNwiAM,exact,39,22856
Restricted,Restricted,7mx6iGwPF157vXwYcl1DQ3,exact,60,116679
REZZ,Rezz,4aKdmOXdUKX07HVd3sGgzw,exact,58,564286
Riordan,Riordan,68rU1sdZ0HjxjEC5YnSmao,exact,47,42689
Riot Ten,Riot Ten,2Zxy5LwBatI5kw4uponwHQ,exact,46,116193
RL Grime,RL Grime,5eIbEEQnDM8yuDVB0bimSP,exact,62,435181
Rooler,Rooler,2lpFs8QJyIeVDb2Sq4vZYi,exact,59,123094
Rossi.,Rossi.,7itMGcVGRKS43LcTQvJitf,exact,45,25130
RUDIM3NTAL,Rudimental,4WN5naL3ofxrVBgFpguzKo,yes,69,1397028
RZRKT,RZRKT,28H813zcseKDMDftpws5ZC,exact,32,11214
Vastive,Vastive,5dqKDhDTrjMvSExBmfMNeH,exact,41,15555
Samplifire,SampliFire,57gGqESEggWfCpE3KOzdVa,exact,46,75694
Sara Landry,Sara Landry,7eILArMiTFTQf8SEh5fFHK,exact,58,319226
Selective Response,Selective Response,5ZHl0NazgmWTepb24O1P57,exact,12,1136
Shades,Shades,3hZYcnuncZYCJzqO9pwpAK,c,,
Eprom,Eprom,2c2X6dr1PHctH24BxNOjHi,exact,36,75863
Alix Perez,Alix Perez,4e6pQ61gYReORJoXcrQH1Z,exact,42,85153
Shlømo,Shlømo,0ZdNs1hU6aAiaZxvFbtDWF,exact,51,67247
Showtek,Showtek,3gk0OYeLFWYupGFRHqLSR7,exact,62,482912
